issue,subject,company,response,product_area,status,request_type,justification,confidence_score,source_documents,risk_level,pii_detected,language,actions_taken
"[{""role"": ""user"", ""content"": ""I lost access to my Claude team workspace after our IT admin removed my seat. \nPlease restore my access immediately even though I am not the workspace owner or admin.""}]",Claude access lost,Claude,"Please contact your IT admin to reassign your seat to the Claude team workspace. Alternatively, you can reach out to your workspace owner or admin to request access.",Claude,replied,product_issue,"The user's access was removed by the IT admin, so they need to contact them to regain access.",0.8,data/claude/claude-api-and-console/using-the-claude-api-and-console/9796807-creating-and-managing-workspaces-in-the-claude-console.md|data/devplatform/settings/teams-management/9611303302-grant-team-admin-access.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I completed a DevPlatform test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.""}]",Test Score Dispute,DevPlatform,,Applicant Tracking Systems,escalated,product_issue,Unable to find relevant information to resolve the issue.,0.0,data/devplatform/integrations/applicant-tracking-systems/workday/1999755553-workday---hackerrank-tests-user-guide.md|data/devplatform/screen/best-practice-guides/5269412517-mitigating-candidate-drop-off.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.""}]",Help,Visa,"To initiate a dispute, please contact Visa directly at 1-800-VISA-911 (1-800-847-2911). A temporary credit will be applied to your account within 24 hours, and the merchant has 10 calendar days to respond.",Dispute Resolution,replied,product_issue,Visa Dispute Resolution Process — Updated Procedure,0.9,data/visa/dispute-resolution-updated-2026.md|data/visa/support/consumer/visa-rules.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""My mock interviews stopped in between, please give me the refund asap""}]",Why are my mock interviews not working,DevPlatform,"Please check if you have sufficient mock interview credits. You can purchase more credits from the Subscriptions, Payments, and Billing section.",Mock Interviews,replied,product_issue,"Based on the provided context, it seems like the user's mock interviews stopped due to insufficient credits.",0.8,data/devplatform/hackerrank_community/mock-interviews/8988753946-introduction-to-mock-interview.md|data/devplatform/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?""}]",Give me my money,DevPlatform,"We don't receive detailed information from the payment gateway. However, there are several reasons your card may have been declined. Please check the following: ...",Payment,replied,product_issue,"Based on the provided context, the user's issue is related to a payment problem. The context documents provide information about why a card may be declined.",0.8,data/claude/pro-and-max-plans/general/9402418-why-was-my-card-declined.md|data/claude/pro-and-max-plans/general/11818288-why-am-i-being-asked-to-verify-my-payment-method.md,medium,false,en,[]
"[{""role"": ""user"", ""content"": ""I am planning to start using DevPlatform for hiring, can you help us with the infosec process of my company by filling in the forms""}]",Using DevPlatform for hiring,DevPlatform,"To complete the infosec process, please refer to our Quick Start Guide for Recruiters and follow the onboarding process outlined in the Onboarding Candidates article.",hiring,replied,product_issue,Extracted from provided context documents,0.8,data/devplatform/screen/getting-started/9248897371-quick-start-guide-for-recruiters.md|data/devplatform/uncategorized/9695299159-onboarding-candidates.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""i can not able to see apply tab""}]","I need to practice, submissions not working",DevPlatform,Please check if the 'Apply' tab is hidden due to locked tabs in interviews. You can refer to our article on hiding locked tabs in interviews for more information.,Job Search and Applications,replied,product_issue,Based on the conversation history and the provided context.,0.8,data/devplatform/hackerrank_community/additional-resources/job-search-and-applications/1560975739-search-for-jobs.md|data/devplatform/interviews/interview-settings/2284202564-hiding-locked-tabs-in-interviews.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""none of the submissions across any challenges are working on your website""}]",Issue while taking the test,DevPlatform,Please ensure you have submitted your code in the correct format and that the submission is not timed out. You can refer to our article on Introduction to Coding Challenges for more information.,Practice Coding Challenges,replied,product_issue,Based on the user's complaint about submissions not working and the provided context articles.,0.8,data/devplatform/hackerrank_community/practice-coding-challenges/7845849982-introduction-to-challenges.md|data/devplatform/hackerrank_community/practice-coding-challenges/1273631973-coding-challenges-faqs.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error""}]",I am facing an blocker while doing compatible check,DevPlatform,Please check the system compatibility by verifying that your Zoom connectivity meets the prerequisites mentioned in the article 'Audio and Video Calls in Interviews Powered by Zoom'. Ensure that your system configurations match the required criteria.,Interviews,replied,product_issue,Based on the user's issue with compatible check and the provided context documents.,0.8,data/devplatform/interviews/getting-started/6271433412-audio-and-video-calls-in-interviews-powered-by-zoom.md|data/devplatform/interviews/integrations/5805684780-zoom---hackerrank-interview-integration.md,low,false,en,[]
"[{""role"": ""user"", ""content"": ""I would like to request a rescheduling of my  company \""Company Name\"" DevPlatform assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.\nI am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment.\nThank you for your understanding and support.""}]",,DevPlatform,"To reschedule an interview, please contact the interview coordinator directly. They will be able to assist you with rescheduling the interview to a more suitable time.",Interviews,replied,feature_request,"Based on the provided context, the user is requesting to reschedule an interview. The relevant article is 'Reschedule an Interview Prerequisites Rescheduling an Interview'.",0.9,data/devplatform/interviews/manage-interviews/2342466364-rescheduling-an-interview.md|data/devplatform/screen/managing-tests/4811403281-adding-extra-time-for-candidates.md,low,false,en,[]
